guide,target,n_assigned,n_rescue,mean_ntc,mean_assigned,mean_rescue,d_assigned,d_rescue,p_assigned_vs_ntc,p_rescue_vs_ntc,ratio_rescue_over_assigned,fdr_assigned_vs_ntc,fdr_rescue_vs_ntc,responsive,rescue_significant,rescuable,condition,n_lanes_pooled
FGF6-1,FGF6,62,10,2.3057802536641248e-05,0.06613267213106155,0.0,0.2922796607017517,-0.010256991721689701,0.054400966140241036,0.9120841229471061,-0.03509307386310452,0.06941747597666033,1.0,False,False,False,Stim48hr,24
FGF6-2,FGF6,65,20,2.3057802536641248e-05,0.04588836431503296,0.0,0.17531698942184448,-0.010256991721689701,0.16065893051541075,0.9120841229471061,-0.05850540643844573,0.1907941205889019,1.0,False,False,False,Stim48hr,24
CD200R1L-3,CD200R1L,56,12,2.2641586838290095e-05,0.11973843723535538,0.0,0.49376940727233887,-0.010264083743095398,0.005777534881212125,0.9122334107065099,-0.020787200648569617,0.008286037313981573,1.0,True,False,False,Stim48hr,24
TM4SF20-3,TM4SF20,55,10,1.8515796909923665e-05,0.0,0.0,-0.010275089181959629,-0.010275089181959629,0.9124646669598832,0.9124646669598832,,0.9575177267298753,1.0,False,False,False,Stim48hr,24
LCE3A-4,LCE3A,200,33,2.9997663659742102e-05,0.0,0.0,-0.010311265476047993,-0.010311265476047993,0.9132216394194523,0.9132216394194523,,0.9581157798251607,1.0,False,False,False,Stim48hr,24
LOC653602-1,LRATD1,38,13,4.508135316427797e-05,0.05794017016887665,0.0,0.39580339193344116,-0.0103567810729146,0.04634251482291901,0.914167091925736,-0.026166478822536747,0.05983523088555361,1.0,False,False,False,Stim48hr,24
OR8S1-4,OR8S1,110,12,2.295729791512713e-05,0.0,0.0,-0.010358876548707485,-0.010358876548707485,0.9142104314406101,0.9142104314406101,,0.9589567540116332,1.0,False,False,False,Stim48hr,24
PDE6A-4,PDE6A,110,11,3.923971235053614e-05,0.06611596792936325,0.0,0.36998993158340454,-0.010366574861109257,0.003544160346363879,0.9143695388419475,-0.028018532333419412,0.005180704707213411,1.0,True,False,False,Stim48hr,24
PRSS38-2,PRSS38,128,13,3.255647243349813e-05,0.0,0.0,-0.01037545781582594,-0.01037545781582594,0.9145528176564829,0.9145528176564829,,0.9591194783039527,1.0,False,False,False,Stim48hr,24
TSSK1B-2,TSSK1B,95,14,1.7833899619290605e-05,0.0,0.0,-0.010436806827783585,-0.010436806827783585,0.9158106818123951,0.9158106818123951,,0.9602420291183394,1.0,False,False,False,Stim48hr,24
UGT1A9-3,UGT1A9,50,11,2.4662738724146038e-05,0.0,0.0,-0.010478691197931767,-0.010478691197931767,0.9166614234666904,0.9166614234666904,,0.9609373334008163,1.0,False,False,False,Stim48hr,24
PDZD9-4,PDZD9,92,13,3.9514852687716484e-05,0.0,0.0,-0.0104958051815629,-0.0104958051815629,0.9170071631166012,0.9170071631166012,,0.9611030672157216,1.0,False,False,False,Stim48hr,24
PCDHA4-1,PCDHA4,86,11,7.764006295474246e-05,0.0,0.0,-0.010545316152274609,-0.010545316152274609,0.918001353228327,0.918001353228327,,0.9619482265211724,1.0,False,False,False,Stim48hr,24
