guide,target,n_assigned,n_rescue,mean_ntc,mean_assigned,mean_rescue,d_assigned,d_rescue,p_assigned_vs_ntc,p_rescue_vs_ntc,ratio_rescue_over_assigned,fdr_assigned_vs_ntc,fdr_rescue_vs_ntc,responsive,rescue_significant,rescuable,condition,n_lanes_pooled
TRMT1-1,TRMT1,77,14,0.2088051438331604,0.3102423846721649,0.0998447984457016,0.2284306287765503,-0.39152616262435913,0.04512503286575548,0.9832980495840065,-1.7139827733318025,0.0608386754673473,1.0,False,False,False,Rest,24
NCAPG2-4,NCAPG2,62,10,0.6393319964408875,0.9656586050987244,0.38024193048477173,0.45322084426879883,-0.3918856084346771,0.000549783121969247,0.8865326085491401,-0.864668104722596,0.0009215248284787863,1.0,True,False,False,Rest,24
PILRB-2,PILRB,53,11,0.22123825550079346,0.20892047882080078,0.10027103871107101,-0.03577394410967827,-0.3936661183834076,0.612025225854882,0.948769572048313,,0.67022114889393,1.0,False,False,False,Rest,24
TBC1D25-4,TBC1D25,130,10,0.0505756214261055,0.20688767731189728,0.0,0.49934807419776917,-0.39437344670295715,1.0703061027514133e-05,1.0,-0.7897766449516008,2.0877532034113583e-05,1.0,True,False,False,Rest,24
DPYSL2-1,DPYSL2,65,12,0.5445117950439453,0.778870701789856,0.3534526824951172,0.4357129633426666,-0.39441654086112976,0.00046641707987330535,0.9231324327204763,-0.90522103780268,0.0007876225294273751,1.0,True,False,False,Rest,24
ACD-3,ACD,93,10,0.2724556624889374,0.30274149775505066,0.13618984818458557,0.07084887474775314,-0.39579007029533386,0.26336301921467375,0.916082758521852,-5.586398820086916,0.30642375802260874,1.0,False,False,False,Rest,24
SZT2-4,SZT2,11,12,0.04910138249397278,0.0826801136136055,0.0,0.18010762333869934,-0.3962755501270294,0.2921826643849963,1.0,-2.2002153089423535,0.33636443268890903,1.0,False,False,False,Rest,24
ZNF304-2,ZNF304,118,11,0.05014052987098694,0.11999921500682831,0.0,0.279226690530777,-0.3968985378742218,0.007211974726356359,1.0,-1.4214204849821646,0.010750372660741431,1.0,True,False,False,Rest,24
TMEM208-1,TMEM208,75,15,0.44652295112609863,0.4841456115245819,0.2780516445636749,0.08536917716264725,-0.39832890033721924,0.21951974570260607,0.9460311688551257,-4.665956889549424,0.2598297875019784,1.0,False,False,False,Rest,24
CREG1-1,CREG1,55,11,0.2614157795906067,0.3336559534072876,0.10892520099878311,0.15893340110778809,-0.3985678553581238,0.14491723678457716,0.9040846002661813,-2.50776647690196,0.17920528230242416,1.0,False,False,False,Rest,24
CCDC117-2,CCDC117,64,12,0.3012363314628601,0.4373007118701935,0.1612347960472107,0.29690858721733093,-0.40018466114997864,0.018541329096591955,0.9370977240852204,-1.3478379487119776,0.02636919326569446,1.0,True,False,False,Rest,24
